director,title,star,writer
James Wan,Insidious,Patrick Wilson,Leigh Whannell
David Fincher,The Social Network,Jesse Eisenberg,Aaron Sorkin
Pierre Coffin,Despicable Me,Steve Carell,Cinco Paul
Ben Affleck,The Town,Ben Affleck,Peter Craig
Nathan Greno,Tangled,Mandy Moore,Dan Fogelman
Chris Columbus,Percy Jackson & the Olympians: The Lightning Thief,Logan Lerman,Craig Titley
Tom Hooper,The King's Speech,Colin Firth,David Seidler
Will Gluck,Easy A,Emma Stone,Bert V. Royal
Jon Favreau,Iron Man 2,Robert Downey Jr.,Justin Theroux
Edward Zwick,Love & Other Drugs,Jake Gyllenhaal,Charles Randolph
Joseph Kosinski,TRON: Legacy,Jeff Bridges,Edward Kitsis
Scott Stewart,Legion,Paul Bettany,Peter Schink
Tim Burton,Alice in Wonderland,Mia Wasikowska,Linda Woolverton
Ethan Coen,True Grit,Jeff Bridges,Joel Coen
Samuel Bayer,A Nightmare on Elm Street,Jackie Earle Haley,Wesley Strick
Robert Schwentke,RED,Bruce Willis,Jon Hoeber
Albert Hughes,The Book of Eli,Denzel Washington,Gary Whitta
Michael Patrick King,Sex and the City 2,Sarah Jessica Parker,Michael Patrick King
Joe Carnahan,The A-Team,Liam Neeson,Joe Carnahan
James Mangold,Knight and Day,Tom Cruise,Patrick O'Neill
Lee Unkrich,Toy Story 3,Tom Hanks,John Lasseter
Derek Cianfrance,Blue Valentine,Ryan Gosling,Derek Cianfrance
Steven R. Monroe,I Spit on Your Grave,Sarah Butler,Adam Rockoff
Dean DeBlois,How to Train Your Dragon,Jay Baruchel,William Davies
Allen Coulter,Remember Me,Robert Pattinson,Will Fetters
Mike Newell,Prince of Persia: The Sands of Time,Jake Gyllenhaal,Boaz Yakin
Noah Baumbach,Greenberg,Ben Stiller,Jennifer Jason Leigh
David O. Russell,The Fighter,Mark Wahlberg,Scott Silver
Mark Romanek,Never Let Me Go,Keira Knightley,Kazuo Ishiguro
Dennis Dugan,Grown Ups,Adam Sandler,Adam Sandler
Susanna White,Nanny McPhee Returns,Emma Thompson,Emma Thompson
Kevin Greutert,Saw 3D: The Final Chapter,Tobin Bell,Patrick Melton
Eli Craig,Tucker and Dale vs Evil,Tyler Labine,Eli Craig
Ridley Scott,Robin Hood,Russell Crowe,Brian Helgeland
Phillip Noyce,Salt,Angelina Jolie,Kurt Wimmer
Sylvester Stallone,The Expendables,Sylvester Stallone,Dave Callaham
M. Night Shyamalan,The Last Airbender,Noah Ringer,M. Night Shyamalan
Greg Berlanti,Life as We Know It,Katherine Heigl,Ian Deitchman
Shawn Levy,Date Night,Steve Carell,Josh Klausner
Steve Antin,Burlesque,Cher,Steve Antin
Danny Boyle,127 Hours,James Franco,Danny Boyle
NimrÛd Antal,Predators,Adrien Brody,Alex Litvak
Paul Haggis,The Next Three Days,Russell Crowe,Paul Haggis
Adam McKay,The Other Guys,Will Ferrell,Adam McKay
Anand Tucker,Leap Year,Amy Adams,Deborah Kaplan
Harald Zwart,The Karate Kid,Jackie Chan,Christopher Murphey
David Slade,The Twilight Saga: Eclipse,Kristen Stewart,Melissa Rosenberg
Christopher Morris,Four Lions,Will Adamsdale,Christopher Morris
Andrew Jarecki,All Good Things,Ryan Gosling,Marcus Hinchey
Mark Steven Johnson,When in Rome,Kristen Bell,David Diamond
Debra Granik,Winter's Bone,Jennifer Lawrence,Debra Granik
Alexandre Aja,Piranha 3D,Elisabeth Shue,Pete Goldfinger
Steve Pink,Hot Tub Time Machine,John Cusack,Josh Heald
Tony Scott,Unstoppable,Denzel Washington,Mark Bomback
George Tillman Jr.,Faster,Dwayne Johnson,Tony Gayton
Neil Marshall,Centurion,Michael Fassbender,Neil Marshall
Elizabeth Allen Rosenbaum,Ramona and Beezus,Joey King,Laurie Craig
Jee-woon Kim,I Saw the Devil,Byung-hun Lee,Jee-woon Kim
Thor Freudenthal,Diary of a Wimpy Kid,Zachary Gordon,Jackie Filgo
Garry Marshall,Valentine's Day,Julia Roberts,Katherine Fugate
Martin Campbell,Edge of Darkness,Mel Gibson,William Monahan
Burr Steers,Charlie St. Cloud,Zac Efron,Craig Pearce
Matt Reeves,Let Me In,Kodi Smit-McPhee,Matt Reeves
Tom McGrath,Megamind,Will Ferrell,Alan Schoolcraft
Rodrigo CortÈs,Sepultado,Ryan Reynolds,Chris Sparling
Mike Mitchell,Shrek Forever After,Mike Myers,William Steig
Rob Reiner,Flipped,Madeline Carroll,Rob Reiner
Florian Henckel von Donnersmarck,The Tourist,Johnny Depp,Florian Henckel von Donnersmarck
Andy Fickman,You Again,Kristen Bell,Moe Jelline
Michael Apted,The Chronicles of Narnia: The Voyage of the Dawn Treader,Ben Barnes,Christopher Markus
Ethan Maniquis,Machete,Danny Trejo,Robert Rodriguez
Gareth Edwards,Monsters,Scoot McNairy,Gareth Edwards
Jon Turteltaub,The Sorcerer's Apprentice,Nicolas Cage,Lawrence Konner
Oliver Stone,Wall Street: Money Never Sleeps,Shia LaBeouf,Allan Loeb
Jeong-beom Lee,The Man from Nowhere,Bin Won,Jeong-beom Lee
Lasse Hallstrˆm,Dear John,Channing Tatum,Jamie Linden
Ryan Murphy,Eat Pray Love,Julia Roberts,Ryan Murphy
Todd Phillips,Due Date,Robert Downey Jr.,Alan R. Cohen
Larysa Kondracki,Secretos Peligrosos,Rachel Weisz,Larysa Kondracki
Sylvain White,The Losers,Idris Elba,Peter Berg
Breck Eisner,The Crazies,Radha Mitchell,Scott Kosar
Anna Boden,It's Kind of a Funny Story,Keir Gilchrist,Anna Boden
Paul Weitz,Little Fockers,Ben Stiller,John Hamburg
James Gunn,Super,Rainn Wilson,James Gunn
Nicholas Stoller,Get Him to the Greek,Jonah Hill,Nicholas Stoller
Peter Weir,The Way Back,Jim Sturgess,Keith R. Clarke
Julie Anne Robinson,The Last Song,Miley Cyrus,Nicholas Sparks
Christopher Smith,Black Death,Eddie Redmayne,Dario Poloni
David MichÙd,Animal Kingdom,James Frecheville,David MichÙd
Sebastian Gutierrez,Elektra Luxx,Joseph Gordon-Levitt,Sebastian Gutierrez
Paul W.S. Anderson,Resident Evil: Afterlife,Milla Jovovich,Paul W.S. Anderson
Alejandro Gonz·lez IÒ·rritu,Biutiful,Javier Bardem,Alejandro Gonz·lez IÒ·rritu
John Erick Dowdle,Devil,Chris Messina,Brian Nelson
Josh Gordon,The Switch,Jennifer Aniston,Allan Loeb
Roman Polanski,The Ghost Writer,Ewan McGregor,Robert Harris
Joe Johnston,The Wolfman,Benicio Del Toro,Andrew Kevin Walker
Massy Tadjedin,Last Night,Keira Knightley,Massy Tadjedin
John Luessenhop,Takers,Chris Brown,Peter Allen
Jimmy Hayward,Jonah Hex,Josh Brolin,Mark Neveldine
Taika Waititi,Boy,James Rolleston,Taika Waititi
Alan Poul,The Back-up Plan,Jennifer Lopez,Kate Angelo
Andy Tennant,The Bounty Hunter,Jennifer Aniston,Sarah Thorp
Floria Sigismondi,The Runaways,Kristen Stewart,Floria Sigismondi
Richard Ayoade,Submarine,Craig Roberts,Richard Ayoade
Colin Strause,Skyline,Eric Balfour,Joshua Cordes
James L. Brooks,How Do You Know,Reese Witherspoon,James L. Brooks
Adam Green,Frozen,Shawn Ashmore,Adam Green
Sofia Coppola,Somewhere,Stephen Dorff,Sofia Coppola
John Madden,The Debt,Helen Mirren,Matthew Vaughn
Mike Mills,Beginners,Ewan McGregor,Mike Mills
Robert Luketic,Killers,Katherine Heigl,Bob DeRosa
Emilio Estevez,The Way,Martin Sheen,Emilio Estevez
Gary Winick,Letters to Juliet,Amanda Seyfried,Jose Rivera
John Cameron Mitchell,Rabbit Hole,Nicole Kidman,David Lindsay-Abaire
David Schwimmer,Trust,Clive Owen,Andy Bellin
AndrÈ ÿvredal,Trollhunter,Otto Jespersen,AndrÈ ÿvredal
Pierre Morel,ParÌs en la Mira,John Travolta,Adi Hasak
Jay Roach,Dinner for Schmucks,Steve Carell,David Guion
Paul Greengrass,Green Zone,Matt Damon,Brian Helgeland
Lisa Cholodenko,The Kids Are All Right,Annette Bening,Lisa Cholodenko
Clint Eastwood,Hereafter,Matt Damon,Peter Morgan
Brian Levant,The Spy Next Door,Jackie Chan,Jonathan Bernstein
Anton Corbijn,The American,George Clooney,Rowan Joffe
Jonathan Lynn,Wild Target,Bill Nighy,Lucinda Coxon
Takashi Miike,13 Assassins,KÙji Yakusho,Kaneo Ikegami
Zack Snyder,Legend of the Guardians: The Owls of Ga'Hoole,Jim Sturgess,John Orloff
Doug Liman,Fair Game,Naomi Watts,Jez Butterworth
Kevin Smith,Cop Out,Bruce Willis,Robb Cullen
Jon M. Chu,Step Up 3D,Sharni Vinson,Amy Andelson
Hiromasa Yonebayashi,The Secret World of Arrietty,Bridgit Mendler,Mary Norton
Neil LaBute,Death at a Funeral,Chris Rock,Dean Craig
Troy Nixey,Don't Be Afraid of the Dark,Katie Holmes,Guillermo del Toro
Karan Johar,My Name Is Khan,Shah Rukh Khan,Shibani Bathija
Miguel Sapochnik,Repo Men,Jude Law,Eric Garcia
Jason Friedberg,Vampires Suck,Jenn Proske,Jason Friedberg
Roger Michell,Morning Glory,Rachel McAdams,Aline Brosh McKenna
John Wells,The Company Men,Ben Affleck,John Wells
Casey Affleck,I'm Still Here,Joaquin Phoenix,Casey Affleck
Michael Lembeck,Tooth Fairy,Dwayne Johnson,Lowell Ganz
Jim Mickle,Stake Land,Connor Paolo,Nick Damici
Richard J. Lewis,La versiÛn de mi vida,Paul Giamatti,Mordecai Richler
Randall Wallace,Secretariat,Diane Lane,Mike Rich
Quentin Dupieux,Rubber,Stephen Spinella,Quentin Dupieux
Stephen Frears,Tamara Drewe,Gemma Arterton,Posy Simmonds
Woody Allen,You Will Meet a Tall Dark Stranger,Anthony Hopkins,Woody Allen
Wilson Yip,Ip Man 2,Donnie Yen,Tai-lee Chan
Michael Winterbottom,The Killer Inside Me,Casey Affleck,John Curran
Rob Letterman,Gulliver's Travels,Jack Black,Joe Stillman
Guillaume Canet,Little White Lies,FranÁois Cluzet,Guillaume Canet
Jorma Taccone,MacGruber,Will Forte,Will Forte
Tod Williams,Paranormal Activity 2,Katie Featherston,Michael R. Perry
Daniel Stamm,El ˙ltimo exorcismo,Patrick Fabian,Huck Botko
John Curran,Stone,Edward Norton,Angus MacLachlan
Nanette Burstein,Going the Distance,Drew Barrymore,Geoff LaTulippe
Spencer Susser,Hesher,Joseph Gordon-Levitt,Spencer Susser
Xavier Dolan,Heartbeats,Xavier Dolan,Xavier Dolan
Mitch Glazer,Passion Play,Mickey Rourke,Mitch Glazer
Daniel Espinosa,Easy Money,Joel Kinnaman,Daniel Espinosa
Abe Sylvia,Dirty Girl,Juno Temple,Abe Sylvia
Tony Goldwyn,Conviction,Hilary Swank,Pamela Gray
JosÈ Padilha,Elite Squad: The Enemy Within,Wagner Moura,Br·ulio Mantovani
William Monahan,London Boulevard,Colin Farrell,William Monahan
Robert Redford,The Conspirator,Robin Wright,James D. Solomon
James Keach,Waiting for Forever,Rachel Bilson,Steve Adams
Julie Taymor,The Tempest,Helen Mirren,Julie Taymor
Jay Duplass,Cyrus,John C. Reilly,Mark Duplass
Eric Brevig,Yogi Bear,Dan Aykroyd,J.R. Ventimilia
Shana Feste,Country Strong,Garrett Hedlund,Shana Feste
Michael Winterbottom,The Trip,Steve Coogan,Baby Cow Productions
Nick Tomnay,The Perfect Host,David Hyde Pierce,Nick Tomnay
Panos Cosmatos,Beyond the Black Rainbow,Eva Bourne,Panos Cosmatos
John Landis,Burke and Hare,Bill Bailey,Piers Ashworth
Kelly Reichardt,Meek's Cutoff,Michelle Williams,Jonathan Raymond
Gregg Araki,Kaboom,Thomas Dekker,Gregg Araki
Susanne Bier,In a Better World,Mikael Persbrandt,Anders Thomas Jensen
Taylor Hackford,Love Ranch,Helen Mirren,Mark Jacobson
Nigel Cole,Made in Dagenham,Sally Hawkins,William Ivory
Galt Niederhoffer,The Romantics,Katie Holmes,Galt Niederhoffer
Joel Schumacher,Twelve,Chace Crawford,Jordan Melamed
¡lex de la Iglesia,The Last Circus,Carlos Areces,¡lex de la Iglesia
Dan Rush,Everything Must Go,Will Ferrell,Dan Rush
Sngmoo Lee,The Warrior's Way,Dong-gun Jang,Sngmoo Lee
Wes Craven,My Soul to Take,Max Thieriot,Wes Craven
Tom Vaughan,Extraordinary Measures,Brendan Fraser,Robert Nelson Jacobs
Tyler Perry,For Colored Girls,Janet Jackson,Tyler Perry
Adam Green,Hatchet II,Danielle Harris,Adam Green
Tom Dey,Marmaduke,Owen Wilson,Tim Rasmussen
Pascal Chaumeil,Heartbreaker,Romain Duris,Laurent Zeitoun
Josh Radnor,Happythankyoumoreplease,Josh Radnor,Josh Radnor
Athina Rachel Tsangari,La vida seg˙n Attenberg,Ariane Labed,Athina Rachel Tsangari
Michael J. Weithorn,A Little Help,Jenna Fischer,Michael J. Weithorn
IcÌar BollaÌn,Even the Rain,Gael GarcÌa Bernal,Paul Laverty
Patrick Hughes,Red Hill,Ryan Kwanten,Patrick Hughes
Sang-soo Im,The Housemaid,Do-yeon Jeon,Ki-young Kim
Kevin Munroe,Dylan Dog: Dead of Night,Brandon Routh,Thomas Dean Donnelly
Abbas Kiarostami,Certified Copy,Juliette Binoche,Caroline Eliacheff
George Hickenlooper,Casino Jack,Kevin Spacey,Norman Snider
Anurag Basu,Kites: M·s all· de las fronteras,Kangana Ranaut,Anurag Basu
Gilles Paquet-Brenner,La llave de Sarah,Kristin Scott Thomas,Tatiana De Rosnay
Malcolm Venville,Henry's Crime,Keanu Reeves,Sacha Gervasi
Jake Scott,Welcome to the Rileys,James Gandolfini,Ken Hixon
Geoffrey Sax,Frankie & Alice,Halle Berry,Cheryl Edwards
Tran Anh Hung,Norwegian Wood,Ken'ichi Matsuyama,Haruki Murakami
Brad Peyton,Cats & Dogs: The Revenge of Kitty Galore,Bette Midler,Ron J. Friedman
Roger Kumble,Furry Vengeance,Brendan Fraser,Michael Carnes
Apichatpong Weerasethakul,Uncle Boonmee Who Can Recall His Past Lives,Thanapat Saisaymar,Phra Sripariyattiweti
Sanjay Leela Bhansali,Guzaarish,Hrithik Roshan,Sanjay Leela Bhansali
Mike Leigh,Another Year,Jim Broadbent,Mike Leigh
Brad Anderson,Vanishing on 7th Street,Hayden Christensen,Anthony Jaswinski
Lena Dunham,Tiny Furniture,Lena Dunham,Lena Dunham
Anthony Bell,Alpha and Omega,Hayden Panettiere,Chris Denk
David Yates,Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe,Steve Kloves
Jon Favreau,Cowboys & Aliens,Daniel Craig,Roberto Orci
Rob Marshall,Pirates of the Caribbean: On Stranger Tides,Johnny Depp,Ted Elliott
Nicolas Winding Refn,Drive,Ryan Gosling,Hossein Amini
Tate Taylor,The Help,Emma Stone,Tate Taylor
Glenn Ficarra,"Crazy, Stupid, Love.",Steve Carell,Dan Fogelman
David Fincher,The Girl with the Dragon Tattoo,Daniel Craig,Steven Zaillian
Tomas Alfredson,El espÌa que sabÌa demasiado,Gary Oldman,Bridget O'Connor
Paul Feig,Bridesmaids,Kristen Wiig,Kristen Wiig
Zack Snyder,Sucker Punch,Emily Browning,Zack Snyder
Kenneth Branagh,Thor,Chris Hemsworth,Ashley Miller
Olivier Nakache,The Intouchables,FranÁois Cluzet,Olivier Nakache
Joe Johnston,Captain America: The First Avenger,Chris Evans,Christopher Markus
Gavin O'Connor,Warrior,Tom Hardy,Gavin O'Connor
Matthew Vaughn,X-Men: First Class,James McAvoy,Ashley Miller
Martin Campbell,Green Lantern,Ryan Reynolds,Greg Berlanti
Neil Burger,Limitless,Bradley Cooper,Leslie Dixon
Tarsem Singh,Immortals,Henry Cavill,Charley Parlapanides
J.J. Abrams,Super 8,Elle Fanning,J.J. Abrams
Rupert Wyatt,Rise of the Planet of the Apes,James Franco,Rick Jaffa
Scott Stewart,Priest,Paul Bettany,Cory Goodman
Michael Bay,Transformers: Dark of the Moon,Shia LaBeouf,Ehren Kruger
Andrew Niccol,In Time,Justin Timberlake,Andrew Niccol
Cameron Crowe,We Bought a Zoo,Matt Damon,Aline Brosh McKenna
Woody Allen,Midnight in Paris,Owen Wilson,Woody Allen
Duncan Jones,Source Code,Jake Gyllenhaal,Ben Ripley
Brad Bird,Mission: Impossible - Ghost Protocol,Tom Cruise,Bruce Geller
Dennis Dugan,Just Go with It,Adam Sandler,Allan Loeb
Brad Furman,The Lincoln Lawyer,Matthew McConaughey,John Romano
Seth Gordon,Horrible Bosses,Jason Bateman,Michael Markowitz
D.J. Caruso,I Am Number Four,Alex Pettyfer,Alfred Gough
Steve McQueen,Shame,Michael Fassbender,Steve McQueen
Wes Craven,Scream 4,Neve Campbell,Kevin Williamson
Will Gluck,Friends with Benefits,Mila Kunis,Keith Merryman
Jake Kasdan,Bad Teacher,Cameron Diaz,Gene Stupnitsky
Martin Scorsese,Hugo,Asa Butterfield,John Logan
Adam Wingard,You're Next,Sharni Vinson,Simon Barrett
Bennett Miller,Moneyball,Brad Pitt,Steven Zaillian
Lone Scherfig,One Day,Anne Hathaway,David Nicholls
Michael Dowse,Goon,Seann William Scott,Jay Baruchel
Ivan Reitman,No Strings Attached,Natalie Portman,Elizabeth Meriwether
Bill Condon,The Twilight Saga: Breaking Dawn - Part 1,Kristen Stewart,Melissa Rosenberg
Lynne Ramsay,We Need to Talk About Kevin,Tilda Swinton,Lynne Ramsay
Guy Ritchie,Sherlock Holmes: A Game of Shadows,Robert Downey Jr.,Michele Mulroney
Lars von Trier,MelancolÌa,Kirsten Dunst,Lars von Trier
Justin Lin,Fast Five,Vin Diesel,Chris Morgan
Joe Wright,Hanna,Saoirse Ronan,Seth Lochhead
George Nolfi,The Adjustment Bureau,Matt Damon,George Nolfi
Pedro AlmodÛvar,La piel que habito,Antonio Banderas,Thierry Jonquet
Joe Carnahan,The Grey,Liam Neeson,Joe Carnahan
Shawn Levy,Real Steel,Hugh Jackman,John Gatins
Gore Verbinski,Rango,Johnny Depp,John Logan
Lance Daly,The Good Doctor,Orlando Bloom,John Enbom
Matthijs van Heijningen Jr.,The Thing,Mary Elizabeth Winstead,Eric Heisserer
Marcus Nispel,Conan the Barbarian,Jason Momoa,Thomas Dean Donnelly
Terrence Malick,The Tree of Life,Brad Pitt,Terrence Malick
Alexander Payne,The Descendants,George Clooney,Alexander Payne
Greg Mottola,Paul,Simon Pegg,Simon Pegg
David Dobkin,The Change-Up,Jason Bateman,Jon Lucas
Steven Soderbergh,Contagion,Matt Damon,Scott Z. Burns
Asghar Farhadi,A Separation,Payman Maadi,Asghar Farhadi
Craig Brewer,Footloose,Kenny Wormald,Dean Pitchford
John Singleton,Abduction,Taylor Lautner,Shawn Christensen
William Friedkin,Killer Joe,Matthew McConaughey,Tracy Letts
Sean McNamara,Soul Surfer,AnnaSophia Robb,Sean McNamara
Paul W.S. Anderson,The Three Musketeers,Logan Lerman,Alex Litvak
Jonathan Levine,50/50,Joseph Gordon-Levitt,Will Reiser
Bobby Farrelly,Hall Pass,Owen Wilson,Pete Jones
Julia Leigh,Sleeping Beauty,Emily Browning,Julia Leigh
Todd Phillips,The Hangover Part II,Bradley Cooper,Craig Mazin
John Lasseter,Cars 2,Owen Wilson,John Lasseter
Gareth Evans,The Raid: Redemption,Iko Uwais,Gareth Evans
Cary Fukunaga,Jane Eyre,Mia Wasikowska,Charlotte BrontÎ
Steven Spielberg,The Adventures of Tintin,Jamie Bell,HergÈ
Olivier Megaton,Colombiana,Zoe Saldana,Luc Besson
David Gordon Green,Your Highness,Danny McBride,Danny McBride
Steven Spielberg,War Horse,Jeremy Irvine,Lee Hall
David Cronenberg,A Dangerous Method,Michael Fassbender,Christopher Hampton
Oliver Parker,Johnny English Reborn,Rowan Atkinson,Hamish McColl
Simon West,The Mechanic,Jason Statham,Richard Wenk
George Clooney,The Ides of March,Paul Giamatti,George Clooney
Michel Hazanavicius,The Artist,Jean Dujardin,Michel Hazanavicius
Clint Eastwood,J. Edgar,Leonardo DiCaprio,Dustin Lance Black
Jonathan Liebesman,Battle Los Angeles,Aaron Eckhart,Christopher Bertolini
Gavin Wiesen,The Art of Getting By,Freddie Highmore,Gavin Wiesen
J.C. Chandor,Margin Call,Zachary Quinto,J.C. Chandor
Craig Gillespie,Fright Night,Anton Yelchin,Marti Noxon
Carlos Saldanha,Rio,Jesse Eisenberg,Carlos Saldanha
Morten Tyldum,Headhunters,Aksel Hennie,Ulf Ryberg
Raja Gosnell,The Smurfs,Hank Azaria,J. David Stem
Drake Doremus,Like Crazy,Felicity Jones,Drake Doremus
Joe Cornish,Attack the Block,John Boyega,Joe Cornish
Jeff Nichols,Take Shelter,Michael Shannon,Jeff Nichols
Jaume Collet-Serra,Unknown,Liam Neeson,Oliver Butcher
Daniel Barnz,Beastly,Alex Pettyfer,Daniel Barnz
Steven Quale,Final Destination 5,Nicholas D'Agosto,Eric Heisserer
Simon Curtis,My Week with Marilyn,Michelle Williams,Adrian Hodges
Jennifer Yuh Nelson,Kung Fu Panda 2,Jack Black,Jonathan Aibel
Kevin Smith,Red State,Michael Parks,Kevin Smith
Mike Cahill,Another Earth,Brit Marling,Mike Cahill
Mark Neveldine,Ghost Rider: Spirit of Vengeance,Nicolas Cage,Scott M. Gimple
Catherine Hardwicke,Red Riding Hood,Amanda Seyfried,David Leslie Johnson
Christian E. Christiansen,The Roommate,Minka Kelly,Sonny Mallhi
Francis Lawrence,Water for Elephants,Robert Pattinson,Richard LaGravenese
David Gordon Green,The Sitter,Jonah Hill,Brian Gatewood
Steven Soderbergh,Agentes Secretos,Gina Carano,Lem Dobbs
Mark Mylod,What's Your Number?,Anna Faris,Gabrielle Allan
David Mackenzie,Perfect Sense,Ewan McGregor,Kim Fupz Aakeson
Rod Lurie,Straw Dogs,James Marsden,Rod Lurie
Michael Dowse,Take Me Home Tonight,Topher Grace,Jackie Filgo
Brett Ratner,Tower Heist,Eddie Murphy,Adam Cooper
Patrick Lussier,Drive Angry,Nicolas Cage,Todd Farmer
John Madden,The Best Exotic Marigold Hotel,Judi Dench,Ol Parker
Tom Six,The Human Centipede II (Full Sequence),Ashlynn Yennie,Tom Six
Jim Sheridan,Dream House,Daniel Craig,David Loucka
Garry Marshall,New Year's Eve,Sarah Jessica Parker,Katherine Fugate
Tom Hanks,Larry Crowne,Tom Hanks,Tom Hanks
Gary McKendry,Killer Elite,Jason Statham,Matt Sherring
Mikael HÂfstrˆm,The Rite,Colin O'Donoghue,Michael Petroni
Robert Rodriguez,Spy Kids 4: All the Time in the World,Jessica Alba,Robert Rodriguez
Jamie Linden,10 Years,Channing Tatum,Jamie Linden
Thomas Bezucha,Princesa por accidente,Selena Gomez,Thomas Bezucha
Ben Palmer,The Inbetweeners Movie,James Buckley,Iain Morris
John Michael McDonagh,The Guard,Brendan Gleeson,John Michael McDonagh
Stephen Daldry,Extremely Loud & Incredibly Close,Thomas Horn,Eric Roth
Lee Tamahori,The Devil's Double,Dominic Cooper,Michael Thomas
Luke Greenfield,Something Borrowed,Ginnifer Goodwin,Jennie Snyder Urman
Sean Durkin,Martha Marcy May Marlene,Elizabeth Olsen,Sean Durkin
Bruce Robinson,The Rum Diary,Johnny Depp,Bruce Robinson
Phyllida Lloyd,The Iron Lady,Meryl Streep,Abi Morgan
Roman Polanski,øSabes quiÈn viene?,Jodie Foster,Yasmina Reza
Ti West,The Innkeepers,Sara Paxton,Ti West
Ron Howard,The Dilemma,Vince Vaughn,Allan Loeb
Ruben Fleischer,30 minutos o menos,Jesse Eisenberg,Michael Diliberti
Michel Gondry,The Green Hornet,Seth Rogen,Seth Rogen
Joel Schumacher,Trespass,Nicolas Cage,Karl Gajdusek
James Bobin,The Muppets,Amy Adams,Jason Segel
Chris Gorak,The Darkest Hour,Emile Hirsch,Jon Spaihts
Dominic Sena,Season of the Witch,Nicolas Cage,Bragi F. Schut
Kelly Asbury,Gnomeo & Juliet,James McAvoy,Rob Sprackling
Jonathan Hensleigh,Kill the Irishman,Ray Stevenson,Jonathan Hensleigh
Andrew Haigh,Weekend,Tom Cullen,Andrew Haigh
Madonna,W.E.,Abbie Cornish,Madonna
Richard Linklater,Bernie,Jack Black,Skip Hollandsworth
Kevin Macdonald,The Eagle,Channing Tatum,Jeremy Brock
Marc Forster,Machine Gun Preacher,Gerard Butler,Jason Keller
Chris Kentis,Silent House,Elizabeth Olsen,Gustavo Hern·ndez
Dennis Dugan,Jack and Jill,Adam Sandler,Steve Koren
Roger Donaldson,Seeking Justice,Nicolas Cage,Todd Hickey
Jim Field Smith,Butter,Jennifer Garner,Jason A. Micallef
Chris Miller,Puss in Boots,Antonio Banderas,Tom Wheeler
Jason Reitman,Young Adult,Charlize Theron,Diablo Cody
Tanya Wexler,Hysteria,Maggie Gyllenhaal,Stephen Dyer
Ralph Fiennes,Coriolanus,Ralph Fiennes,John Logan
Tony Kaye,Detachment,Adrien Brody,Carl Lund
Tim Hill,Hop,Russell Brand,Cinco Paul
David R. Ellis,Shark Night 3D,Sara Paxton,Will Hayes
Charles Martin Smith,Dolphin Tale,Morgan Freeman,Karen Janszen
Paolo Sorrentino,This Must Be the Place,Sean Penn,Paolo Sorrentino
Frank Coraci,Zookeeper,Kevin James,Nick Bakay
Jodie Foster,The Beaver,Mel Gibson,Kyle Killen
Ben Wheatley,Kill List,Neil Maskell,Ben Wheatley
Mark Waters,Mr. Popper's Penguins,Jim Carrey,Sean Anders
Roland Emmerich,Anonymous,Rhys Ifans,John Orloff
Yimou Zhang,The Flowers of War,Christian Bale,Heng Liu
Xavier Gens,Aislados,Lauren German,Karl Mueller
Oren Moverman,Rampart,Woody Harrelson,James Ellroy
David Bowers,Diary of a Wimpy Kid: Rodrick Rules,Zachary Gordon,Gabe Sachs
Alex Gregory,A Good Old Fashioned Orgy,Jason Sudeikis,Alex Gregory
Andrea Arnold,Wuthering Heights,Kaya Scodelario,Andrea Arnold
Stephen J. Anderson,Winnie the Pooh,Jim Cummings,Stephen J. Anderson
Phil Traill,Chalet Girl,Felicity Jones,Tom Williams
Zoya Akhtar,Zindagi Na Milegi Dobara,Hrithik Roshan,Farhan Akhtar
Jason Eisener,Hobo with a Shotgun,Rutger Hauer,John Davies
George Miller,Happy Feet Two,Elijah Wood,George Miller
Alister Grierson,Sanctum,Rhys Wakefield,John Garvin
Henry Joost,Paranormal Activity 3,Chloe Csengery,Christopher Landon
Terence Davies,The Deep Blue Sea,Rachel Weisz,Terence Rattigan
Bruce Beresford,"Peace, Love, & Misunderstanding",Jane Fonda,Christina Mengert
Lasse Hallstrˆm,Salmon Fishing in the Yemen,Ewan McGregor,Simon Beaufoy
Jennifer Westfeldt,Friends with Kids,Jennifer Westfeldt,Jennifer Westfeldt
Jesse Peretz,Our Idiot Brother,Paul Rudd,Jesse Peretz
Todd Strauss-Schulson,A Very Harold & Kumar 3D Christmas,Kal Penn,Jon Hurwitz
Kenneth Lonergan,Margaret,Anna Paquin,Kenneth Lonergan
Rodrigo GarcÌa,Albert Nobbs,Glenn Close,Gabriella Prekop
Bobcat Goldthwait,God Bless America,Joel Murray,Bobcat Goldthwait
Sarah Polley,Take This Waltz,Michelle Williams,Sarah Polley
Gonzalo LÛpez-Gallego,Apollo 18,Warren Christie,Brian Miller
Adam Kassen,Puncture,Chris Evans,Paul Danziger
Aaron Harvey,Catch .44,Malin Akerman,Aaron Harvey
Mike Mitchell,Alvin and the Chipmunks: Chipwrecked,Justin Long,Jonathan Aibel
Justin Kurzel,The Snowtown Murders,Lucas Pittaway,Shaun Grant
Daniel Nettheim,The Hunter,Willem Dafoe,Alice Addison
Bertrand Bonello,House of Tolerance,NoÈmie Lvovsky,Bertrand Bonello
Sam Jaeger,Take Me Home,Sam Jaeger,Sam Jaeger
Jason Winer,Arthur,Russell Brand,Peter Baynham
