director,title,star,writer
Menahem Golan,Over the Top,Sylvester Stallone,Gary Conway
John Hughes,"Planes, Trains & Automobiles",Steve Martin,John Hughes
Joel Coen,Raising Arizona,Nicolas Cage,Ethan Coen
Alan Parker,Angel Heart,Mickey Rourke,William Hjortsberg
Howard Deutch,Some Kind of Wonderful,Eric Stoltz,John Hughes
Michael Gottlieb,Mannequin,Andrew McCarthy,Edward Rugoff
Garry Marshall,Overboard,Goldie Hawn,Leslie Dixon
Joe Dante,Innerspace,Dennis Quaid,Chip Proser
Norman Jewison,Moonstruck,Cher,John Patrick Shanley
Tony Scott,Beverly Hills Cop II,Eddie Murphy,Danilo Bach
William Dear,Harry and the Hendersons,John Lithgow,William Dear
Bernardo Bertolucci,The Last Emperor,John Lone,Mark Peploe
Barry Levinson,"Good Morning, Vietnam",Robin Williams,Mitch Markowitz
James Ivory,Maurice,James Wilby,E.M. Forster
Leonard Nimoy,3 Men and a Baby,Tom Selleck,Coline Serreau
John Carpenter,Prince of Darkness,Donald Pleasence,John Carpenter
Luis Valdez,La Bamba,Lou Diamond Phillips,Luis Valdez
Kathryn Bigelow,Near Dark,Adrian Pasdar,Kathryn Bigelow
Wim Wenders,Wings of Desire,Bruno Ganz,Wim Wenders
Marek Kanievska,Less Than Zero,Andrew McCarthy,Bret Easton Ellis
Roger Donaldson,No Way Out,Kevin Costner,Kenneth Fearing
Matthew Robbins,*batteries not included,Hume Cronyn,Mick Garris
Charles Shyer,Baby Boom,Diane Keaton,Nancy Meyers
Bruce Robinson,Withnail & I,Richard E. Grant,Bruce Robinson
Jeffrey Bloom,Flowers in the Attic,Louise Fletcher,Virginia C. Andrews
James L. Brooks,Broadcast News,William Hurt,James L. Brooks
Tibor Tak·cs,T˙nel al infierno,Stephen Dorff,Michael Nankin
Sidney J. Furie,Superman IV: The Quest for Peace,Christopher Reeve,Joe Shuster
Michael Gornick,Creepshow 2,George Kennedy,Stephen King
Christopher Leitch,Teen Wolf Too,Jason Bateman,Jeph Loeb
Fred Schepisi,Roxanne,Steve Martin,Edmond Rostand
Herbert Ross,The Secret of My Succe$s,Michael J. Fox,Jim Cash
Tom Mankiewicz,Dragnet,Dan Aykroyd,Dan Aykroyd
Alan Clarke,"Rita, Sue and Bob Too",Siobhan Finneran,Andrea Dunbar
Blake Edwards,Blind Date,Kim Basinger,Dale Launer
Ethan Wiley,House II: The Second Story,Arye Gross,Fred Dekker
Jim Drake,Police Academy 4: Citizens on Patrol,Steve Guttenberg,Neal Israel
Rod Amateau,The Garbage Pail Kids Movie,Anthony Newley,Linda Palmer
Danny DeVito,Throw Momma from the Train,Danny DeVito,Stu Silver
Joseph Ruben,The Stepfather,Terry O'Quinn,Carolyn Lefcourt
Jack Sholder,The Hidden,Kyle MacLachlan,Jim Kouf
Joe Dante,Amazon Women on the Moon,Rosanna Arquette,Michael Barrie
Barbet Schroeder,Barfly,Mickey Rourke,Charles Bukowski
Phil Joanou,Three O'Clock High,Casey Siemaszko,Richard Christian Matheson
Gabriel Axel,Babette's Feast,StÈphane Audran,Karen Blixen
John Schlesinger,The Believers,Martin Sheen,Mark Frost
James Toback,The Pick-up Artist,Molly Ringwald,James Toback
Woody Allen,Radio Days,Mia Farrow,Woody Allen
Robert Altman,Aria,John Hurt,Robert Altman
John R. Cherry III,Ernest Goes to Camp,Jim Varney,John R. Cherry III
Louis Malle,Au Revoir les Enfants,Gaspard Manesse,Louis Malle
Ridley Scott,Someone to Watch Over Me,Tom Berenger,Howard Franklin
James Foley,Who's That Girl,Madonna,Andrew Smith
Richard Attenborough,Cry Freedom,Denzel Washington,John Briley
John Mackenzie,The Fourth Protocol,Michael Caine,George Axelrod
Hector Babenco,Ironweed,Jack Nicholson,William Kennedy
Bob Rafelson,Black Widow,Debra Winger,Ronald Bass
John Badham,Stakeout,Richard Dreyfuss,Jim Kouf
Rod Daniel,Like Father Like Son,Dudley Moore,Lorne Cameron
Percy Adlon,Bagdad Cafe,Marianne S‰gebrecht,Eleonore Adlon
Andrey Konchalovskiy,Shy People,Jill Clayburgh,Andrey Konchalovskiy
Joe Roth,Revenge of the Nerds II: Nerds in Paradise,Robert Carradine,Tim Metcalfe
Bruce Pittman,Prom Night II,Lisa Schrage,Ron Oliver
J. Lee Thompson,Death Wish 4: The Crackdown,Charles Bronson,Brian Garfield
Jonathan Kaplan,Project X,Matthew Broderick,Lawrence Lasker
William Phelps,North Shore,Matt Adler,William Phelps
…lie Chouraqui,Man on Fire,Scott Glenn,A.J. Quinnell
Ruggero Deodato,The Barbarians,David Paul,Alberto Piferi
Elaine May,Ishtar,Warren Beatty,Elaine May
Robert Townsend,Hollywood Shuffle,Robert Townsend,Robert Townsend
Lawrence Bassoff,Hunk,John Allen Nelson,Lawrence Bassoff
David Mamet,House of Games,Lindsay Crouse,David Mamet
Peter Werner,No Man's Land,Charlie Sheen,Dick Wolf
David Keith,The Curse,Wil Wheaton,David Chaskin
Peter Yates,Suspect,Cher,Eric Roth
Christopher Cain,The Principal,Jim Belushi,Frank Deese
John Boorman,Hope and Glory,Sarah Miles,John Boorman
Arthur Hiller,Outrageous Fortune,Shelley Long,Leslie Dixon
Walter Hill,Extreme Prejudice,Nick Nolte,John Milius
Sam Firstenberg,American Ninja 2: The Confrontation,Michael Dudikoff,Gary Conway
John Sayles,Matewan,Chris Cooper,John Sayles
Bill Norton,Three for the Road,Charlie Sheen,Richard Martini
Paul Weiland,Leonard Part 6,Bill Cosby,Jonathan Reynolds
Jerry Schatzberg,Street Smart,Christopher Reeve,David Freeman
Stephen Frears,Prick Up Your Ears,Gary Oldman,Alan Bennett
Michael Cimino,The Sicilian,Christopher Lambert,Mario Puzo
Cheech Marin,Born in East L.A.,Cheech Marin,Cheech Marin
Paul Schrader,Light of Day,Michael J. Fox,Paul Schrader
Bille August,Pelle the Conqueror,Pelle Hvenegaard,Martin Andersen Nex¯
Bill Froehlich,Return to Horror High,Lori Lethin,Bill Froehlich
Lyndall Hobbs,Back to the Beach,Frankie Avalon,James Komack
Robert Collector,Nightflyers,Catherine Mary Stewart,George R.R. Martin
Tom Holland,Fatal Beauty,Whoopi Goldberg,Bill Svanoe
Jeff Bleckner,White Water Summer,Kevin Bacon,Manya Starr
Lindsay Anderson,The Whales of August,Bette Davis,David Berry
Bob Giraldi,Hiding Out,Jon Cryer,Joe Menosky
Jimmy Huston,My Best Friend Is a Vampire,Robert Sean Leonard,Tab Murphy
Harley Cokeliss,Malone,Burt Reynolds,Christopher Frank
Steven Lisberger,Hot Pursuit,John Cusack,Steven Lisberger
Dennis Feldman,Real Men,Jim Belushi,Dennis Feldman
Mike Hodges,A Prayer for the Dying,Mickey Rourke,Jack Higgins
Francis Ford Coppola,Gardens of Stone,James Caan,Nicholas Proffitt
Gary Sherman,Wanted: Dead or Alive,Rutger Hauer,Michael Patrick Goodman
Janice Karman,The Chipmunk Adventure,Ross Bagdasarian Jr.,Janice Karman
Stephen Carpenter,The Kindred,Rod Steiger,Stephen Carpenter
Alan Rudolph,Made in Heaven,Timothy Hutton,Bruce A. Evans
Emilio Estevez,Wisdom,Emilio Estevez,Emilio Estevez
Michael Radford,White Mischief,Sarah Miles,James Fox
Woody Allen,September,Elaine Stritch,Woody Allen
John Huston,The Dead,Anjelica Huston,Tony Huston
Lance Hool,Steel Dawn,Patrick Swayze,Doug Lefler
Renny Harlin,Prison,Lane Smith,Irwin Yablans
Martin Ritt,Nuts,Barbra Streisand,Tom Topor
Barry Levinson,Tin Men,Richard Dreyfuss,Barry Levinson
Lionel Chetwynd,The Hanoi Hilton,Michael Moriarty,Lionel Chetwynd
William Friedkin,Rampage,Michael Biehn,William P. Wood
Ben Bolt,The Big Town,Matt Dillon,Clark Howard
David Leland,Wish You Were Here,Emily Lloyd,David Leland
Tamar Simon Hoffs,The Allnighter,Susanna Hoffs,Tamar Simon Hoffs
Peter Greenaway,The Belly of an Architect,Brian Dennehy,Peter Greenaway
John Flynn,Best Seller,James Woods,Larry Cohen
Mary Lambert,Siesta,Ellen Barkin,Patrice Chaplin
Michael Hoffman,Promised Land,Jason Gedrick,Michael Hoffman
Curtis Hanson,The Bedroom Window,Steve Guttenberg,Anne Holden
Nikita Mikhalkov,Dark Eyes,Marcello Mastroianni,Aleksandr Adabashyan
Amy Holden Jones,Maid to Order,Ally Sheedy,Amy Holden Jones
Daniel Petrie,Square Dance,Jason Robards,Alan Hines
Alex Cox,Straight to Hell,Sy Richardson,Alex Cox
Hugh Wilson,Burglar,Whoopi Goldberg,Lawrence Block
Phil Alden Robinson,In the Mood,Patrick Dempsey,Robert Kosberg
David Hugh Jones,84 Charing Cross Road,Anne Bancroft,Helene Hanff
Lee Harry,"Silent Night, Deadly Night 2",Eric Freeman,Michael Hickey
Tony Bill,Five Corners,Jodie Foster,John Patrick Shanley
Tom McLoughlin,Date with an Angel,Phoebe Cates,Tom McLoughlin
Alex Cox,Walker,Ed Harris,Rudy Wurlitzer
Larry Cohen,Deadly Illusion,Billy Dee Williams,Larry Cohen
Wayne Wang,Slam Dance,Tom Hulce,Don Keith Opper
Roger Young,The Squeeze,Michael Keaton,Daniel Taplitz
Terry Jones,Personal Services,Julie Walters,David Leland
Peter R. Hunt,Assassination,Charles Bronson,Richard Sale
David DeCoteau,Creepozoids,Linnea Quigley,Dave Eisenstark
Abel Ferrara,China Girl,James Russo,Nicholas St. John
Robert Benton,Nadine,Jeff Bridges,Robert Benton
Arthur Penn,Dead of Winter,Mary Steenburgen,Marc Shmuger
Corey Yuen,"No Retreat, No Surrender 2",Loren Avedon,Maria Elena Cellino
Paul Newman,The Glass Menagerie,Joanne Woodward,Tennessee Williams
Bigas Luna,Anguish,Zelda Rubinstein,Bigas Luna
Pat O'Connor,A Month in the Country,Colin Firth,J.L. Carr
Jeff Burr,From a Whisper to a Scream,Vincent Price,C. Courtney Joyner
Frank Perry,Hello Again,Shelley Long,Susan Isaacs
Christine Edzard,Little Dorrit,Derek Jacobi,Charles Dickens
Melvin Frank,Walk Like a Man,Christopher Lloyd,Robert Klane
Norman Mailer,Tough Guys Don't Dance,Ryan O'Neal,Norman Mailer
Michael Schultz,Disorderlies,Darren Robinson,Mark Feldberg
